,service_level,max_guest,no_bedroom,no_bed,no_bathroom,rating,no_review,price,type,area,amenities
0,REGULAR,2.0,1.0,1.0,1.0,5.0,13,42.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
1,REGULAR,2.0,1.0,1.0,1.0,5.0,9,38.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
2,SUPERHOST,2.0,1.0,1.0,1.0,4.93,28,47.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
3,REGULAR,6.0,2.0,2.0,2.0,4.9,52,215.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
4,PLUS,4.0,2.0,3.0,2.0,4.77,439,280.0,Treehouse,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
5,SUPERHOST,2.0,1.0,1.0,1.0,4.77,47,49.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
6,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,105.0,Entire villa,Payangan,"Pool,Wifi,Air conditioning,none"
7,REGULAR,6.0,2.0,2.0,2.0,4.92,36,354.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
8,SUPERHOST,2.0,1.0,1.0,2.0,4.71,445,32.0,Shared room,Ubud,"Pool,Wifi,none,none"
9,SUPERHOST,2.0,1.0,1.0,1.0,4.88,181,80.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
10,SUPERHOST,3.0,1.0,2.0,1.0,4.76,49,16.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
11,SUPERHOST,6.0,2.0,2.0,2.5,4.78,268,294.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
12,SUPERHOST,2.0,1.0,1.0,1.0,4.68,95,12.0,Entire rental unit,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
13,SUPERHOST,2.0,1.0,1.0,1.0,4.91,99,119.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
14,SUPERHOST,2.0,1.0,1.0,1.0,4.88,8,66.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
15,SUPERHOST,2.0,1.0,1.0,1.0,4.88,128,537.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,none"
16,SUPERHOST,4.0,2.0,2.0,2.0,4.73,22,107.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
17,SUPERHOST,2.0,1.0,1.0,2.5,4.88,271,176.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
18,REGULAR,2.0,1.0,1.0,1.0,5.0,5,30.0,Entire villa,Ubud,"Wifi,Air conditioning,Kitchen,none"
19,SUPERHOST,2.0,1.0,1.0,1.5,4.86,0,63.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
20,SUPERHOST,4.0,2.0,2.0,2.0,4.79,19,120.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
21,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,105.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
22,SUPERHOST,4.0,1.0,2.0,1.0,4.62,312,41.0,Private room,Ubud,"Wifi,none,none,none"
23,PLUS,2.0,1.0,1.0,1.0,4.91,66,120.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
24,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,24.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
25,SUPERHOST,2.0,1.0,1.0,1.5,4.79,29,144.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
26,REGULAR,2.0,1.0,1.0,1.0,4.86,0,56.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
27,SUPERHOST,2.0,1.0,1.0,1.0,4.86,29,60.0,Tiny house,Ubud,"Pool,Wifi,Kitchen,none"
28,SUPERHOST,2.0,1.0,1.0,1.0,5.0,3,81.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
29,SUPERHOST,2.0,1.0,1.0,1.0,5.0,7,89.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
30,SUPERHOST,2.0,1.0,1.0,1.0,5.0,20,24.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
31,SUPERHOST,2.0,1.0,1.0,1.0,4.86,14,49.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
32,PLUS,2.0,1.0,1.0,1.0,4.96,117,80.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
33,SUPERHOST,2.0,1.0,1.0,1.0,4.85,66,250.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
34,REGULAR,2.0,1.0,1.0,1.0,4.2,10,68.0,Dome house,Ubud,"none,none,none,none"
35,REGULAR,2.0,1.0,1.0,1.0,5.0,3,35.0,Entire cottage,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
36,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,126.0,Treehouse,Ubud,"Wifi,Air conditioning,Kitchen,none"
37,REGULAR,2.0,1.0,1.0,1.0,4.86,0,42.0,Resort room,Ubud,"Pool,Wifi,Air conditioning,none"
38,REGULAR,6.0,2.0,2.0,2.0,5.0,5,295.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
39,REGULAR,3.0,1.0,1.0,1.0,4.87,126,88.0,Private room,Ubud,"Wifi,Air conditioning,Kitchen,none"
40,SUPERHOST,6.0,3.0,3.0,3.0,4.88,67,174.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
41,REGULAR,2.0,1.0,1.0,1.0,4.83,18,154.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
42,SUPERHOST,2.0,1.0,1.0,1.0,4.67,3,207.0,Resort room,Tegalalang,"Pool,Wifi,Air conditioning,none"
43,SUPERHOST,4.0,2.0,2.0,2.0,4.95,138,108.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
44,PLUS,2.0,1.0,1.0,1.0,4.93,113,80.0,Entire bungalow,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
45,SUPERHOST,2.0,1.0,2.0,1.0,4.94,338,41.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
46,SUPERHOST,2.0,1.0,1.0,1.0,4.98,63,73.0,Entire villa,Ubud,"Wifi,Air conditioning,Kitchen,none"
47,SUPERHOST,4.0,2.0,2.0,2.0,4.74,31,100.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
48,REGULAR,2.0,1.0,1.0,1.0,4.9,31,76.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
49,SUPERHOST,3.0,1.0,2.0,1.0,4.8,165,24.0,Entire serviced apartment,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
50,REGULAR,2.0,1.0,1.0,1.0,4.86,0,73.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
51,SUPERHOST,2.0,1.0,1.0,1.0,4.85,27,49.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
52,SUPERHOST,2.0,1.0,1.0,1.5,5.0,8,12.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
53,SUPERHOST,6.0,3.0,3.0,3.0,4.86,143,134.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
54,SUPERHOST,2.0,1.0,1.0,1.0,4.92,12,68.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
55,REGULAR,3.0,2.0,2.0,2.0,4.67,3,48.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
56,REGULAR,2.0,1.0,1.0,1.0,4.92,13,39.0,Hut,Ubud,"none,none,none,none"
57,SUPERHOST,2.0,1.0,1.0,1.0,5.0,9,69.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
58,SUPERHOST,2.0,1.0,1.0,1.0,4.99,69,84.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
59,REGULAR,3.0,1.0,2.0,1.5,4.74,85,45.0,Entire rental unit,Ubud,"Wifi,Air conditioning,Kitchen,none"
60,SUPERHOST,2.0,1.0,1.0,1.5,5.0,10,160.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
61,REGULAR,2.0,1.0,1.0,1.0,4.86,0,33.0,Resort room,Ubud,"Pool,Wifi,Air conditioning,none"
62,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,17.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
63,REGULAR,3.0,2.0,2.0,1.0,4.81,64,129.0,Entire residential home,Ubud,"Wifi,Air conditioning,Kitchen,none"
64,SUPERHOST,2.0,1.0,1.0,1.0,4.92,38,40.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
65,SUPERHOST,2.0,1.0,1.0,1.0,4.86,14,23.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
66,REGULAR,6.0,3.0,6.0,3.0,4.45,64,55.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
67,SUPERHOST,4.0,2.0,2.0,2.0,4.99,140,176.0,Entire villa,Tegalalang,"Pool,Wifi,Air conditioning,none"
68,SUPERHOST,2.0,1.0,1.0,1.0,4.92,13,72.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
69,SUPERHOST,2.0,1.0,1.0,1.0,4.89,98,80.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
70,REGULAR,4.0,1.0,1.0,1.0,4.81,178,28.0,Hut,Sukawati,"Wifi,none,none,none"
71,SUPERHOST,2.0,1.0,1.0,1.0,4.9,10,45.0,Hut,Ubud,"Wifi,none,none,none"
72,REGULAR,2.0,1.0,1.0,1.0,4.86,0,24.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
73,SUPERHOST,2.0,1.0,1.0,1.0,4.92,74,119.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
