Title,listing_url,service_level,accom_type,max_guest,no_bedroom,no_bed,no_bathroom,_3c0zz14,_3c0zz15,_3c0zz16,_3c0zz17,rating,no_review,price,_tt122m
"NEW Private Luxe Villa, Jungle View-Pool-Koi Pond",https://www.airbnb.com/rooms/49443276?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,5.0,(13 reviews),$42,$225 total
"-75% New Luxe Villa C, Private Pool/Jungle Views",https://www.airbnb.com/rooms/50444504?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,0 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,5.0,(9 reviews),$38,$205 total
55%OFF|Lasamana Exotic Hideaway W/ Rice Field View,https://www.airbnb.com/rooms/44411077?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.93,(28 reviews),$47,$233 total
-70%- Chic 2BR private villa with endless rice-field view,https://www.airbnb.com/rooms/43271847?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,,Entire villa in Kecamatan Ubud,6 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.90,(52 reviews),$215,"$1,075 total"
Magical Treehouse with Jungle Pool above the Rice Fields,https://www.airbnb.com/rooms/plus/792724?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,PLUS,Treehouse in Ubud,4 guests,2 bedrooms,3 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.77,(439 reviews),$280,"$1,399 total"
Contemporary Ubud Tropical Home,https://www.airbnb.com/rooms/38173333?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.77,(47 reviews),$49,$223 total
Free Floating Breakfast at Your Pool Villa,https://www.airbnb.com/rooms/50218616?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Payangan,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,,,$105,$526 total
Cozy 2BR Villa with Panoramic View of Rice Fields,https://www.airbnb.com/rooms/46627860?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,,Entire villa in Kecamatan Ubud,6 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.92,(36 reviews),$354,"$1,772 total"
Firefly Eco Lodge Bamboo birdsnest level 4,https://www.airbnb.com/rooms/9305759?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Shared room in Ubud,2 guests,1 bedroom,1 bed,2 shared baths,Pool,Wifi,,,4.71,(445 reviews),$32,$160 total
♥️Private Pool Villa #sunset & paddy view@Megananda,https://www.airbnb.com/rooms/28901855?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.88,(181 reviews),$80,$401 total
1BR Traditional style #4 at Ketut's Place B&B Ubud,https://www.airbnb.com/rooms/29226859?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Private room in Ubud,3 guests,1 bedroom,2 beds,1 private bath,Pool,Wifi,Air conditioning,,4.76,(49 reviews),$16,$80 total
Luxe Cliff-Side Jungle Villa,https://www.airbnb.com/rooms/7340120?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=0503b865-5558-4260-851c-5a4606ba4a5e,SUPERHOST,Entire residential home in Ubud,6 guests,2 bedrooms,2 beds,2.5 baths,Pool,Wifi,Air conditioning,Kitchen,4.78,(268 reviews),$294,$500 total
